iter	Passed	Remaining
764	2939	903
765	2941	898
766	2942	893
767	2944	889
768	2946	884
769	2947	880
770	2949	876
771	2950	871
772	2952	867
773	2955	863
774	2959	859
775	2967	856
776	2973	853
777	2978	849
778	2984	846
779	2989	843
780	2993	839
781	2998	835
782	3003	832
783	3008	828
784	3015	825
785	3018	821
786	3025	818
787	3030	815
788	3033	811
789	3038	807
790	3046	804
791	3051	801
792	3057	798
793	3062	794
794	3067	790
795	3071	787
796	3076	783
797	3081	779
798	3087	776
799	3093	773
800	3112	773
801	3122	770
802	3132	768
803	3137	764
804	3141	760
805	3147	757
806	3151	753
807	3156	750
808	3160	746
809	3167	742
810	3173	739
811	3178	736
812	3183	732
813	3187	728
814	3193	724
815	3199	721
816	3203	717
817	3209	714
818	3214	710
819	3220	706
820	3225	703
821	3231	699
822	3242	697
823	3249	693
824	3257	691
825	3261	687
826	3267	683
827	3276	680
828	3284	677
829	3290	674
830	3297	670
831	3302	666
832	3306	662
833	3311	659
834	3317	655
835	3322	651
836	3331	648
837	3335	644
838	3340	641
839	3347	637
840	3353	633
841	3358	630
842	3364	626
843	3369	622
844	3375	619
845	3382	615
846	3389	612
847	3393	608
848	3398	604
849	3406	601
850	3410	597
851	3416	593
852	3421	589
853	3425	585
854	3429	581
855	3433	577
856	3438	573
857	3443	569
858	3448	565
859	3451	561
860	3455	557
861	3460	553
862	3464	550
863	3468	545
864	3472	541
865	3477	538
866	3481	534
867	3484	529
868	3489	526
869	3493	522
870	3497	518
871	3501	513
872	3507	510
873	3514	506
874	3520	502
875	3524	498
876	3528	494
877	3532	490
878	3536	486
879	3540	482
880	3544	478
881	3551	475
882	3554	471
883	3559	467
884	3564	463
885	3568	459
886	3572	455
887	3575	450
888	3580	447
889	3583	442
890	3586	438
891	3589	434
892	3594	430
893	3597	426
894	3602	422
895	3605	418
896	3610	414
897	3613	410
898	3618	406
899	3622	402
900	3626	398
901	3630	394
902	3633	390
903	3638	386
904	3642	382
905	3648	378
906	3652	374
907	3656	370
908	3660	366
909	3665	362
910	3672	358
911	3677	354
912	3680	350
913	3687	346
914	3691	342
915	3695	338
916	3700	334
917	3704	330
918	3708	326
919	3713	322
920	3716	318
921	3720	314
922	3723	310
923	3726	306
924	3732	302
925	3738	298
926	3742	294
927	3749	290
928	3753	286
929	3757	282
930	3761	278
931	3764	274
932	3771	270
933	3776	266
934	3780	262
935	3783	258
936	3787	254
937	3790	250
938	3795	246
939	3799	242
940	3805	238
941	3808	234
942	3812	230
943	3815	226
944	3822	222
945	3826	218
946	3830	214
947	3833	210
948	3838	206
949	3842	202
950	3845	198
951	3850	194
952	3855	190
953	3859	186
954	3866	182
955	3870	178
956	3874	174
957	3877	169
958	3880	165
959	3886	161
960	3890	157
961	3894	153
962	3899	149
963	3904	145
964	3909	141
965	3913	137
966	3916	133
967	3920	129
968	3923	125
969	3928	121
970	3932	117
971	3935	113
972	3942	109
973	3946	105
974	3950	101
975	3953	97
976	3959	93
977	3962	89
978	3966	85
979	3969	81
980	3973	76
981	3976	72
982	3980	68
983	3984	64
984	3988	60
985	3991	56
986	3995	52
987	3999	48
988	4002	44
989	4006	40
990	4009	36
991	4012	32
992	4016	28
993	4020	24
994	4023	20
995	4026	16
996	4030	12
997	4034	8
998	4037	4
999	4041	0
